Concelho,Nível de Tensão,Ano,Mês,CPEs_Doméstico,CPEs_Iluminação Pública,CPEs_Não Doméstico,CPEs_Outros
Alcobaça,Baixa Tensão,2022,6,30347.0,514.0,7353.0,284.0
Alcobaça,Baixa Tensão,2022,7,30412.0,515.0,7357.0,298.0
Alcobaça,Baixa Tensão,2022,8,30438.0,515.0,7359.0,295.0
Alcobaça,Baixa Tensão,2022,9,30457.0,516.0,7368.0,292.0
Alcobaça,Baixa Tensão,2022,10,30482.0,516.0,7371.0,289.0
Alcobaça,Baixa Tensão,2022,11,30480.0,516.0,7351.0,291.0
Alcobaça,Baixa Tensão,2022,12,30497.0,516.0,7353.0,298.0
Alcobaça,Baixa Tensão,2023,1,30532.0,516.0,7348.0,280.0
Alcobaça,Baixa Tensão,2023,2,30549.0,522.0,7354.0,282.0
Alcobaça,Baixa Tensão,2023,3,30564.0,522.0,7360.0,283.0
