ano,mes,energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_iluminacao_publica_alta_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2024,1,743063,42606,5738,0,127,0,1112,37,9,0,11568,4
2022,8,4752396,3429306,10177,0,157,0,3532,66,65,0,15000,4
2022,9,3971759,2650660,10184,0,157,0,3502,66,60,0,15008,4
2022,10,3769054,1807243,10197,0,157,0,3478,66,60,0,15628,4
2022,11,3871009,1552027,10199,0,157,0,3461,66,61,0,15342,4
2022,12,4380876,1418894,10209,0,157,0,3447,66,59,0,15980,4
2023,1,4872040,1505746,10210,0,157,0,3452,66,57,0,15854,4
2023,2,4390000,1376174,10208,0,157,0,3464,66,59,0,16126,4
2023,3,4209226,1577489,10226,0,157,0,3486,66,58,0,16502,4
2023,4,3901337,1580686,10226,0,157,0,3486,66,58,0,16810,4
2023,5,4162069,2038844,10226,0,157,0,3486,66,58,0,16720,4
2023,6,4495063,2328393,10244,0,157,0,3589,67,60,0,17520,4
2023,7,5033934,2916900,10243,0,157,0,3598,67,59,0,17376,4
2023,8,4931471,3459139,10245,0,157,0,3595,66,64,0,16834,4
2023,9,4100309,2568001,10250,0,157,0,3578,66,56,0,16980,4
2023,10,3943191,1730180,10259,0,157,0,3551,66,57,0,18174,4
2023,11,4093289,1486721,10259,0,157,0,3541,66,57,0,18460,4
2023,12,5126419,1439763,10267,0,157,0,3540,66,57,0,18844,4
2024,1,2237401,317563,10271,0,158,0,3541,66,56,0,18624,6
2022,8,1250893,313319,4292,0,175,0,1165,20,13,0,3796,2
2022,9,1158118,282811,4290,0,176,0,1166,20,11,0,3574,2
2022,10,1211365,274532,4287,0,176,0,1165,20,11,0,3962,2
2022,11,1260068,262509,4290,0,177,0,1164,20,11,0,5248,2
2022,12,1433806,269561,4290,0,177,0,1165,20,11,0,5126,2
2023,1,1573366,270797,4293,0,177,0,1168,20,11,0,5762,0
2023,2,1425656,246768,4298,0,177,0,1170,20,11,0,6072,2
2023,3,1320483,260507,4297,0,177,0,1170,20,12,0,6612,2
2023,4,1126164,275392,4296,0,177,0,1170,20,12,0,6634,2
2023,5,1145405,290012,4296,0,177,0,1170,20,12,0,6600,2
2023,6,1173083,295585,4312,0,177,0,1170,20,14,0,6736,2
2023,7,1306414,332950,4310,0,177,0,1177,19,15,0,7052,2
2023,8,1337176,348028,4312,0,177,0,1181,19,13,0,7174,2
2023,9,1199739,290181,4313,0,177,0,1182,19,14,0,8216,2
2023,10,1244858,288351,4312,0,177,0,1182,19,13,0,8612,2
2023,11,1327726,260568,4316,0,177,0,1183,19,13,0,8870,2
2023,12,1595911,274256,4317,0,177,0,1184,19,14,0,8864,2
2024,1,778495,91211,4326,0,177,0,1183,19,12,0,8834,2
2022,8,1863681,3013042,3261,0,59,0,1187,50,24,0,6816,2
2022,9,1383028,2810578,3261,0,59,0,1145,50,24,0,7400,2
2022,10,1238578,1934622,3268,0,59,0,1118,51,24,0,7490,2
2022,11,1268246,1999890,3273,0,59,0,1105,51,22,0,7182,2
2022,12,1454814,2018465,3277,0,59,0,1097,51,22,0,7566,2
2023,1,1604509,1677719,3281,0,59,0,1096,51,22,0,7472,2
2023,2,1450909,956977,3279,0,59,0,1099,51,22,0,7658,2
2023,3,1411679,1104206,3287,0,59,0,1103,50,22,0,7686,2
2023,4,1353338,1291676,3287,0,59,0,1103,50,22,0,7472,2
2023,5,1462421,2274726,3287,0,59,0,1103,50,22,0,6850,2
2023,6,1639001,2394656,3309,0,59,0,1190,50,22,0,7472,2
2023,7,2041584,2631148,3312,0,59,0,1194,50,23,0,7378,2
2023,8,1841030,2881766,3314,0,59,0,1190,51,23,0,7212,2
2023,9,1382863,2503724,3316,0,58,0,1164,51,23,0,7904,2
2023,10,1268295,2006964,3324,0,58,0,1147,51,22,0,7822,2
2023,11,1338761,2079852,3322,0,58,0,1143,51,22,0,8084,2
