concelho,ano,mes,inclui_mobilidade_eletrica,cpes_com_dcs_recolhidos_quantidade
Aljustrel,2024,2,Não,4894
Aljustrel,2024,2,Sim,1
Aljustrel,2024,3,Não,4985
Aljustrel,2024,3,Sim,1
Aljustrel,2024,4,Não,5066
Aljustrel,2024,4,Sim,1
Almada,2022,8,Não,64757
Almada,2022,8,Sim,21
Almada,2022,9,Não,66107
Almada,2022,9,Sim,22
Almada,2022,10,Não,68145
Almada,2022,10,Sim,20
Almada,2022,11,Não,66894
Almada,2022,11,Sim,21
Almada,2022,12,Não,68165
Almada,2022,12,Sim,22
Almada,2023,1,Não,68788
Almada,2023,1,Sim,21
Almada,2023,2,Não,71825
Almada,2023,2,Sim,24
Almada,2023,3,Não,71986
Almada,2023,3,Sim,26
Almada,2023,4,Não,72594
Almada,2023,4,Sim,26
Almada,2023,5,Não,70547
Almada,2023,5,Sim,26
Almada,2023,6,Não,76276
Almada,2023,6,Sim,27
Almada,2023,7,Não,77245
Almada,2023,7,Sim,28
Almada,2023,8,Não,77239
Almada,2023,8,Sim,31
Almada,2023,9,Não,80393
Almada,2023,9,Sim,31
Almada,2023,10,Não,81537
Almada,2023,10,Sim,33
Almada,2023,11,Não,82464
Almada,2023,11,Sim,36
Almada,2023,12,Não,85489
Almada,2023,12,Sim,38
Almada,2024,1,Não,85375
Almada,2024,1,Sim,42
Almada,2024,2,Não,85995
Almada,2024,2,Sim,42
Almada,2024,3,Não,88057
Almada,2024,3,Sim,44
Almada,2024,4,Não,88084
Almada,2024,4,Sim,45
Almeida,2022,8,Não,2650
Almeida,2022,8,Sim,1
Almeida,2022,9,Não,2674
Almeida,2022,9,Sim,1
Almeida,2022,10,Não,2874
Almeida,2022,10,Sim,1
Almeida,2022,11,Não,3002
Almeida,2022,11,Sim,1
Almeida,2022,12,Não,2990
Almeida,2022,12,Sim,2
Almeida,2023,1,Não,3357
Almeida,2023,1,Sim,2
Almeida,2023,2,Não,3620
Almeida,2023,2,Sim,2
Almeida,2023,3,Não,3943
Almeida,2023,3,Sim,2
Almeida,2023,4,Não,4066
Almeida,2023,4,Sim,2
Almeida,2023,5,Não,4194
Almeida,2023,5,Sim,2
Almeida,2023,6,Não,4231
Almeida,2023,6,Sim,2
Almeida,2023,7,Não,4672
Almeida,2023,7,Sim,2
Almeida,2023,8,Não,4845
Almeida,2023,8,Sim,2
Almeida,2023,9,Não,4820
Almeida,2023,9,Sim,2
Almeida,2023,10,Não,5241
Almeida,2023,10,Sim,2
Almeida,2023,11,Não,5545
Almeida,2023,11,Sim,2
Almeida,2023,12,Não,5690
Almeida,2023,12,Sim,2
Almeida,2024,1,Não,5784
Almeida,2024,1,Sim,2
Almeida,2024,2,Não,5824
Almeida,2024,2,Sim,2
Almeida,2024,3,Não,6091
Almeida,2024,3,Sim,2
Almeida,2024,4,Não,6094
Almeida,2024,4,Sim,2
Almeirim,2022,8,Não,7500
Almeirim,2022,8,Sim,2
Almeirim,2022,9,Não,7504
Almeirim,2022,9,Sim,2
Almeirim,2022,10,Não,7814
Almeirim,2022,10,Sim,2
Almeirim,2022,11,Não,7671
Almeirim,2022,11,Sim,2
Almeirim,2022,12,Não,7990
Almeirim,2022,12,Sim,2
Almeirim,2023,1,Não,7927
Almeirim,2023,1,Sim,2
Almeirim,2023,2,Não,8063
Almeirim,2023,2,Sim,2
Almeirim,2023,3,Não,8251
Almeirim,2023,3,Sim,2
Almeirim,2023,4,Não,8405
Almeirim,2023,4,Sim,2
Almeirim,2023,5,Não,8360
Almeirim,2023,5,Sim,2
Almeirim,2023,6,Não,8760
Almeirim,2023,6,Sim,2
Almeirim,2023,7,Não,8688
Almeirim,2023,7,Sim,2
Almeirim,2023,8,Não,8417
Almeirim,2023,8,Sim,2
Almeirim,2023,9,Não,8490
Almeirim,2023,9,Sim,2
Almeirim,2023,10,Não,9087
Almeirim,2023,10,Sim,2
Almeirim,2023,11,Não,9230
Almeirim,2023,11,Sim,2
Almeirim,2023,12,Não,9422
Almeirim,2023,12,Sim,2
Almeirim,2024,1,Não,9312
Almeirim,2024,1,Sim,3
Almeirim,2024,2,Não,9657
Almeirim,2024,2,Sim,3
Almeirim,2024,3,Não,10092
Almeirim,2024,3,Sim,3
Almeirim,2024,4,Não,10090
Almeirim,2024,4,Sim,3
Almodôvar,2022,8,Não,1898
Almodôvar,2022,8,Sim,1
Almodôvar,2022,9,Não,1787
Almodôvar,2022,9,Sim,1
Almodôvar,2022,10,Não,1981
Almodôvar,2022,10,Sim,1
Almodôvar,2022,11,Não,2624
Almodôvar,2022,11,Sim,1
Almodôvar,2022,12,Não,2563
