energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
5328517,19286,145,3954,154,26958,8,346
5460770,19291,145,3958,156,26574,10,346
5461080,19308,145,3961,164,26974,10,346
6305723,19308,145,3968,161,27248,10,346
6285864,19314,145,3974,154,28966,10,346
2077213,19325,146,3973,154,29138,10,346
2665619,8083,97,2019,42,11934,2,152
2258579,8078,97,2017,42,11742,2,152
2223630,8073,97,2015,41,12016,2,152
2352859,8072,97,2015,49,12284,2,152
2718028,8070,97,2014,47,12328,2,152
2968327,8067,97,2015,41,12332,2,152
2603011,8081,97,2016,44,12438,2,152
2398667,8076,97,2016,42,12688,2,152
2003069,8075,97,2016,42,13404,2,152
2032028,8075,97,2016,42,13374,2,152
2138326,8111,96,2016,46,13324,2,152
2374544,8129,96,2022,73,13976,2,152
2523733,8136,96,2026,41,13908,2,152
2227389,8133,96,2031,43,14090,2,152
2251720,8135,96,2031,42,14222,4,152
2423060,8124,96,2032,41,14574,4,152
3206967,8118,96,2030,46,14952,4,152
3097840,8119,96,2030,38,14864,4,152
976144,8120,96,2031,39,15956,4,152
1483184,6606,156,1507,16,5428,2,16
1356020,6597,156,1510,18,5244,2,16
1397182,6594,156,1516,16,5820,2,16
1529850,6588,156,1516,16,5962,2,16
1760749,6589,156,1515,16,6046,2,16
1791726,6584,156,1515,16,6250,2,16
1566682,6586,156,1517,16,6516,2,16
1506610,6579,156,1517,16,6746,2,16
1279581,6579,156,1517,16,6720,2,16
1256003,6579,156,1517,16,7068,2,16
1243787,6597,156,1526,16,7524,2,16
1398941,6601,157,1529,17,7734,2,16
1477843,6607,157,1532,15,7812,2,16
1328391,6610,157,1534,15,7812,2,16
1429190,6611,157,1539,14,8606,2,16
1595696,6620,159,1538,13,9028,2,16
1940560,6616,159,1536,12,9366,2,16
1822670,6620,159,1536,12,10202,2,16
620785,6618,159,1538,12,10974,2,16
9244361,29566,589,6493,202,26978,2,82
8573667,29569,589,6492,192,27172,2,82
8933496,29585,589,6502,197,28436,2,82
9330377,29616,590,6508,192,28862,2,82
10571551,29630,590,6505,205,29400,4,82
11214891,29653,590,6503,183,30830,4,82
