energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
1.5183e-05,0,12,0,9,0,9
1.8137e-05,0,11,0,9,0,9
1.4829e-05,0,11,0,9,0,9
1.3056e-05,0,11,0,9,0,9
1.307e-05,0,11,0,9,0,9
1.375e-05,0,11,0,9,0,9
2.1245e-05,0,11,0,9,0,9
2.26e-05,0,11,0,9,0,9
2.1261e-05,0,11,0,9,0,9
2.4753e-05,0,11,0,9,0,9
1.9445e-05,0,11,0,9,0,9
1.6435e-05,0,11,0,9,0,9
1.6778e-05,0,11,0,9,0,9
1.9079e-05,0,11,0,9,0,9
1.5924e-05,0,11,0,9,0,9
0.000854523,0,35,0,188,0,102
0.000825129,0,35,0,188,0,102
0.000846836,0,35,0,188,0,102
0.000815495,0,35,0,188,0,102
0.000833257,0,35,0,188,0,102
0.000818301,0,35,0,188,0,102
0.000694571,0,36,0,188,0,102
0.000714166,0,36,0,188,0,102
0.000739249,0,36,0,188,0,102
0.000780753,0,36,0,188,0,102
0.000808977,0,37,0,188,0,102
0.000822112,0,37,0,188,0,102
0.000850061,0,38,0,188,0,102
0.000847322,0,38,0,188,0,102
0.000935476,0,38,0,188,0,102
0.000894922,0,38,0,188,0,102
0.000892413,0,38,0,188,0,102
0.040401382,0,250,8,420,7,553
0.050237966,0,250,0,420,7,553
0.046124512,0,250,0,420,7,553
0.051197763,0,251,0,420,7,553
0.046980266,0,252,0,420,7,553
0.05131134,0,252,0,420,7,553
0.045580631,0,253,0,420,7,553
0.053128383,0,252,0,420,7,553
0.04718895,0,252,0,420,7,553
0.049633924,0,252,0,420,7,553
0.046426421,0,252,0,420,7,553
0.047430388,0,252,0,420,7,553
0.038902557,0,253,0,420,7,553
0.050493157,0,253,0,420,7,553
0.052552544,0,254,0,420,7,553
0.044726134,0,254,0,420,7,553
0.045578044,0,254,0,420,7,553
0.003972386,0,71,0,6,0,20
0.003372101,0,71,0,6,0,20
0.001704286,0,71,0,6,0,20
0.001546816,0,71,0,6,0,20
0.001700199,0,71,0,6,0,20
0.001292003,0,71,0,6,0,20
0.000932085,0,71,0,6,0,20
0.001630261,0,71,0,6,0,20
0.002035436,0,71,0,6,0,20
0.003285005,0,71,0,6,0,20
0.003455828,0,71,0,6,0,20
0.003506378,0,71,0,6,0,20
0.004174985,0,71,0,6,0,20
0.003333369,0,71,0,6,0,20
0.002175448,0,71,0,6,0,20
0.00136245,0,71,0,6,0,20
0.001185985,0,71,0,6,0,20
0.012178856,0,133,0,84,0,102
0.011195992,0,134,0,84,0,102
0.010115215,0,134,0,84,0,102
0.009080574,0,134,0,84,0,102
0.008797902,0,134,0,84,0,102
0.009107586,0,134,0,84,0,102
0.008502858,0,134,0,84,0,102
0.009102222,0,135,0,84,0,102
0.00862442,0,135,0,84,0,102
0.009226103,0,135,0,84,0,102
0.009333365,0,136,0,84,0,102
0.010856483,0,136,0,84,0,102
0.012361266,0,136,0,84,0,102
0.011108599,0,137,0,84,0,102
0.010206351,0,137,0,84,0,102
0.009382993,0,137,0,84,0,102
0.008792342,0,137,0,84,0,102
0.000393434,0,26,0,99,0,74
0.000377909,0,26,0,99,0,74
0.000374183,0,26,0,99,0,74
0.000351657,0,26,0,99,0,74
0.000375654,0,26,0,99,0,74
0.000413169,0,26,0,99,0,74
0.000365654,0,26,0,99,0,74
0.000396938,0,25,0,99,0,74
0.000345051,0,25,0,99,0,74
0.000370115,0,25,0,99,0,74
0.000391942,0,26,0,99,0,74
0.000374529,0,26,0,99,0,74
0.000354951,0,25,0,99,0,74
0.000371507,0,25,0,99,0,74
0.000387899,0,25,0,99,0,74
0.000383122,0,25,0,99,0,74
0.000410072,0,25,0,99,0,74
0.013911853,0,375,20,308,4,2531
0.01575641,0,375,20,308,4,2531
0.017797094,0,377,20,308,4,2531
0.017030375,0,376,20,308,4,2531
0.015793823,0,376,20,308,4,2531
0.017688974,0,377,20,308,4,2531
0.015258365,0,377,20,308,4,2531
0.016992372,0,376,20,308,4,2531
0.014757477,0,376,20,308,4,2531
0.015148157,0,376,20,308,4,2531
0.015450549,0,377,0,308,4,2531
0.016059173,0,378,0,308,4,2531
0.013253286,0,378,0,308,4,2531
0.014672056,0,378,0,308,4,2531
0.017893182,0,381,0,308,4,2531
0.017784985,0,381,0,308,4,2531
0.015908874,0,382,0,308,4,2531
0.000171228,0,10,0,9,0,8
0.000139077,0,10,0,9,0,8
0.000136425,0,10,0,9,0,8
0.000122134,0,10,0,9,0,8
0.000121784,0,10,0,9,0,8
0.000128589,0,10,0,9,0,8
0.000120616,0,10,0,9,0,8
0.000135547,0,10,0,9,0,8
0.000140506,0,10,0,9,0,8
0.0001602,0,10,0,9,0,8
0.000170153,0,10,0,9,0,8
0.000189066,0,10,0,9,0,8
0.000178301,0,10,0,9,0,8
0.000153191,0,10,0,9,0,8
0.000141641,0,10,0,9,0,8
0.000120165,0,10,0,9,0,8
0.000122138,0,10,0,9,0,8
0.007993233,0,66,0,2165,1,183
0.007438074,0,66,0,2165,1,183
0.007241283,0,66,0,2165,1,183
0.007067506,0,66,0,2165,1,183
0.006450806,0,66,0,2165,1,183
0.006764526,0,66,0,2165,1,183
0.006284611,0,67,0,2165,1,183
0.006419083,0,65,0,2165,1,183
0.006045651,0,65,0,2165,1,183
0.006334343,0,65,0,2165,1,183
0.006933872,0,65,0,2165,1,183
0.007149953,0,65,0,2165,1,183
0.006599635,0,65,0,2165,1,183
0.006892547,0,65,0,2165,1,183
0.007335027,0,65,0,2165,1,183
0.006925637,0,65,0,2165,1,183
0.006398306,0,65,0,2165,1,183
0.003458758,0,98,0,154,15,204
0.00391012,0,99,0,154,15,204
0.004317816,0,99,0,154,15,204
0.004303212,0,99,0,154,15,204
0.003680323,0,99,0,154,15,204
0.004228975,0,99,0,154,15,204
0.003730842,0,99,0,154,15,204
0.004116101,0,99,0,154,15,204
0.003569314,0,99,0,154,15,204
0.003650113,0,99,0,154,15,204
0.003655777,0,99,0,154,15,204
0.003637432,0,99,0,154,15,204
0.003038855,0,99,0,154,15,204
0.003711713,0,99,0,154,15,204
0.004144315,0,99,0,154,15,204
0.003976897,0,100,0,154,15,204
0.003483315,0,100,0,154,15,204
0.039961829,0,218,0,29,0,180
0.030651707,0,218,0,29,0,180
0.032736433,0,218,0,29,0,180
0.033099119,0,218,0,29,0,180
