ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
2023,4,0.00 - 3349844.95,0,123,0,173,3,427
2023,5,0.00 - 3349844.95,0,123,0,173,3,427
2023,6,0.00 - 3349844.95,0,123,0,173,3,427
2023,7,0.00 - 3349844.95,0,123,0,173,3,427
2023,8,0.00 - 3349844.95,0,124,0,173,3,427
2023,9,0.00 - 3349844.95,0,124,0,173,3,427
2023,10,0.00 - 3349844.95,0,126,0,173,3,427
2023,11,0.00 - 3349844.95,0,126,0,173,3,427
2023,12,0.00 - 3349844.95,0,126,0,173,3,427
2022,8,0.00 - 3349844.95,0,34,0,232,0,120
2022,9,0.00 - 3349844.95,0,34,0,232,0,120
2022,10,0.00 - 3349844.95,0,34,0,232,0,120
2022,11,0.00 - 3349844.95,0,34,0,232,0,120
2022,12,0.00 - 3349844.95,0,34,0,232,0,120
2023,1,0.00 - 3349844.95,0,34,0,232,0,120
2023,2,0.00 - 3349844.95,0,34,0,232,0,120
2023,3,0.00 - 3349844.95,0,35,0,232,0,120
2023,4,0.00 - 3349844.95,0,35,0,232,0,120
2023,5,0.00 - 3349844.95,0,35,0,232,0,120
2023,6,0.00 - 3349844.95,0,36,0,232,0,120
2023,7,0.00 - 3349844.95,0,36,0,232,0,120
2023,8,0.00 - 3349844.95,0,36,0,232,0,120
2023,9,0.00 - 3349844.95,0,36,0,232,0,120
2023,10,0.00 - 3349844.95,0,36,0,232,0,120
2023,11,0.00 - 3349844.95,0,36,0,232,0,120
2023,12,0.00 - 3349844.95,0,36,0,232,0,120
2022,8,3349844.95 - 9260857.23,0,120,0,128,0,384
2022,9,3349844.95 - 9260857.23,0,120,0,128,0,384
2022,10,3349844.95 - 9260857.23,0,120,0,128,0,384
2022,11,3349844.95 - 9260857.23,0,119,0,128,0,384
2022,12,3349844.95 - 9260857.23,0,119,0,128,0,384
